,,Fraction of pregnant women registered under JSY
SC Borgaon Pachgaon,Oct-2015,0.25
SC Borgaon Pachgaon,Nov-2015,0.6666666666666666
SC Borgaon Pachgaon,Dec-2015,0.5
SC Borgaon Pachgaon,Jan-2016,1.0
SC Borgaon Pachgaon,Feb-2016,1.0
SC Borgaon Pachgaon,Mar-2016,
SC Borgaon Pachgaon,Total,0.5483870967741935
SC Bothali,Apr-2015,0.5
SC Bothali,May-2015,1.0
SC Bothali,Jun-2015,0.5
SC Bothali,Jul-2015,1.0
SC Bothali,Aug-2015,1.0
SC Bothali,Sep-2015,1.0
SC Bothali,Oct-2015,1.0
SC Bothali,Nov-2015,
SC Bothali,Dec-2015,1.0
SC Bothali,Jan-2016,1.0
SC Bothali,Feb-2016,0.5
SC Bothali,Mar-2016,0.6666666666666666
SC Bothali,Total,0.8
SC Butibori New,Apr-2015,0.23809523809523808
SC Butibori New,May-2015,0.4117647058823529
SC Butibori New,Jun-2015,0.3
