,,Fraction of pregnant women registered within 1st trimester
SC Bhiwapur,Jul-2015,0.8125
SC Bhiwapur,Aug-2015,0.7368421052631579
SC Bhiwapur,Sep-2015,0.7777777777777778
SC Bhiwapur,Oct-2015,0.9444444444444444
SC Bhiwapur,Nov-2015,0.5555555555555556
SC Bhiwapur,Dec-2015,0.7857142857142857
SC Bhiwapur,Jan-2016,0.9166666666666666
SC Bhiwapur,Feb-2016,0.8888888888888888
SC Bhiwapur,Mar-2016,0.9
SC Bhiwapur,Total,0.821656050955414
SC Bhorgad,Apr-2015,1.0
SC Bhorgad,May-2015,1.0
SC Bhorgad,Jun-2015,0.0
SC Bhorgad,Jul-2015,1.0
SC Bhorgad,Aug-2015,1.0
SC Bhorgad,Sep-2015,0.75
SC Bhorgad,Oct-2015,0.0
SC Bhorgad,Nov-2015,1.0
SC Bhorgad,Dec-2015,1.0
SC Bhorgad,Jan-2016,1.0
SC Bhorgad,Feb-2016,1.0
SC Bhorgad,Mar-2016,
SC Bhorgad,Total,0.8484848484848485
SC Bhugaon,Apr-2015,0.75
SC Bhugaon,May-2015,0.5714285714285714
SC Bhugaon,Jun-2015,1.0
SC Bhugaon,Jul-2015,0.7
SC Bhugaon,Aug-2015,1.0
SC Bhugaon,Sep-2015,0.9230769230769231
SC Bhugaon,Oct-2015,1.0
SC Bhugaon,Nov-2015,0.5714285714285714
SC Bhugaon,Dec-2015,0.5555555555555556
SC Bhugaon,Jan-2016,0.9
SC Bhugaon,Feb-2016,1.0
SC Bhugaon,Mar-2016,0.8888888888888888
SC Bhugaon,Total,0.8210526315789474
SC Bina,Apr-2015,0.8571428571428571
SC Bina,May-2015,1.0
SC Bina,Jun-2015,0.8
SC Bina,Jul-2015,1.0
SC Bina,Aug-2015,1.0
SC Bina,Sep-2015,0.8333333333333334
SC Bina,Oct-2015,0.75
SC Bina,Nov-2015,1.0
SC Bina,Dec-2015,0.8
SC Bina,Jan-2016,1.0
SC Bina,Feb-2016,1.0
SC Bina,Mar-2016,1.0
SC Bina,Total,0.9038461538461539
SC Bondri,Apr-2015,0.7142857142857143
SC Bondri,May-2015,0.8333333333333334
SC Bondri,Jun-2015,0.8333333333333334
SC Bondri,Jul-2015,0.75
SC Bondri,Aug-2015,0.75
SC Bondri,Sep-2015,1.0
SC Bondri,Oct-2015,1.0
SC Bondri,Nov-2015,1.0
SC Bondri,Dec-2015,0.6666666666666666
SC Bondri,Jan-2016,0.8
SC Bondri,Feb-2016,0.8
SC Bondri,Mar-2016,0.75
SC Bondri,Total,0.8333333333333334
SC Borda Mansar,Apr-2015,1.0
SC Borda Mansar,May-2015,1.0
SC Borda Mansar,Jun-2015,1.0
SC Borda Mansar,Jul-2015,1.0
SC Borda Mansar,Aug-2015,0.6
SC Borda Mansar,Sep-2015,0.8571428571428571
SC Borda Mansar,Oct-2015,1.0
SC Borda Mansar,Nov-2015,0.75
SC Borda Mansar,Dec-2015,1.0
SC Borda Mansar,Jan-2016,1.0
SC Borda Mansar,Feb-2016,1.0
SC Borda Mansar,Mar-2016,0.75
SC Borda Mansar,Total,0.8913043478260869
SC Bordoha,Apr-2015,1.0
SC Bordoha,May-2015,0.4
SC Bordoha,Jun-2015,1.0
SC Bordoha,Jul-2015,0.2
SC Bordoha,Aug-2015,0.5714285714285714
SC Bordoha,Sep-2015,0.6
SC Bordoha,Oct-2015,0.0
SC Bordoha,Nov-2015,1.0
SC Bordoha,Dec-2015,1.0
SC Bordoha,Jan-2016,1.0
SC Bordoha,Feb-2016,0.75
SC Bordoha,Mar-2016,1.0
SC Bordoha,Total,0.5961538461538461
SC Borgaon Dhapewada,Apr-2015,1.0
SC Borgaon Dhapewada,May-2015,1.0
SC Borgaon Dhapewada,Jun-2015,1.0
SC Borgaon Dhapewada,Jul-2015,1.0
SC Borgaon Dhapewada,Aug-2015,1.0
SC Borgaon Dhapewada,Sep-2015,
SC Borgaon Dhapewada,Oct-2015,1.0
SC Borgaon Dhapewada,Nov-2015,1.0
SC Borgaon Dhapewada,Dec-2015,1.0
SC Borgaon Dhapewada,Jan-2016,1.0
SC Borgaon Dhapewada,Feb-2016,1.0
SC Borgaon Dhapewada,Mar-2016,1.0
SC Borgaon Dhapewada,Total,1.0
SC Borgaon Pachgaon,Apr-2015,1.0
SC Borgaon Pachgaon,May-2015,1.0
SC Borgaon Pachgaon,Jun-2015,1.0
SC Borgaon Pachgaon,Jul-2015,1.0
SC Borgaon Pachgaon,Aug-2015,1.0
SC Borgaon Pachgaon,Sep-2015,1.0
SC Borgaon Pachgaon,Oct-2015,1.0
SC Borgaon Pachgaon,Nov-2015,1.0
SC Borgaon Pachgaon,Dec-2015,1.0
SC Borgaon Pachgaon,Jan-2016,1.0
SC Borgaon Pachgaon,Feb-2016,1.0
SC Borgaon Pachgaon,Mar-2016,
SC Borgaon Pachgaon,Total,1.0
SC Bothali,Apr-2015,0.75
SC Bothali,May-2015,1.0
SC Bothali,Jun-2015,1.0
SC Bothali,Jul-2015,1.0
SC Bothali,Aug-2015,0.6666666666666666
SC Bothali,Sep-2015,1.0
SC Bothali,Oct-2015,1.0
SC Bothali,Nov-2015,
SC Bothali,Dec-2015,1.0
SC Bothali,Jan-2016,1.0
SC Bothali,Feb-2016,1.0
SC Bothali,Mar-2016,1.0
SC Bothali,Total,0.92
SC Butibori New,Apr-2015,0.7142857142857143
SC Butibori New,May-2015,0.8529411764705882
SC Butibori New,Jun-2015,0.5833333333333334
SC Butibori New,Jul-2015,0.7666666666666667
SC Butibori New,Aug-2015,0.42105263157894735
SC Butibori New,Sep-2015,0.7333333333333333
SC Butibori New,Oct-2015,0.4489795918367347
SC Butibori New,Nov-2015,0.5636363636363636
SC Butibori New,Dec-2015,0.5098039215686274
SC Butibori New,Jan-2016,0.5918367346938775
SC Butibori New,Feb-2016,0.6129032258064516
SC Butibori New,Mar-2016,0.5365853658536586
SC Butibori New,Total,0.5923076923076923
SC Butibori old,Apr-2015,0.5714285714285714
