,,Fraction of newborns having weight less than 2.5 kg
SC Chicholi,Apr-2015,
SC Chicholi,May-2015,
SC Chicholi,Jun-2015,
SC Chicholi,Jul-2015,
SC Chicholi,Aug-2015,
SC Chicholi,Sep-2015,
SC Chicholi,Oct-2015,
SC Chicholi,Nov-2015,
SC Chicholi,Dec-2015,
SC Chicholi,Jan-2016,
SC Chicholi,Feb-2016,
SC Chicholi,Mar-2016,
SC Chicholi,Total,
SC DAWSA,Apr-2015,
SC DAWSA,May-2015,0.0
SC DAWSA,Jun-2015,
SC DAWSA,Jul-2015,
SC DAWSA,Aug-2015,
SC DAWSA,Sep-2015,0.0
SC DAWSA,Oct-2015,
SC DAWSA,Nov-2015,
SC DAWSA,Dec-2015,0.0
SC DAWSA,Jan-2016,
SC DAWSA,Feb-2016,
SC DAWSA,Mar-2016,
SC DAWSA,Total,0.0
SC DHAMANGAON Jawali,Apr-2015,0.0
SC DHAMANGAON Jawali,May-2015,0.0
SC DHAMANGAON Jawali,Jun-2015,0.0
SC DHAMANGAON Jawali,Jul-2015,0.0
SC DHAMANGAON Jawali,Aug-2015,
